Enter text here, select options and click the "Remove Duplicate Lines" button from above.
Duplicate text removal is only between content on new lines and duplicate text within the same line will not be removed.
The line order/sorting will not be affected other than subsequent duplicate lines being deleted.
Check the "Case sensitive." checkbox for case sensitive matching of duplicate line removal.
Check the "Remove empty lines." checkbox to remove/delete all blank/empty lines.
Check the "Display removed." checkbox to save removed lines. Lines are prefixed with removal information for reference.

Example:
Click the "Remove Duplicate Lines" button and watch these duplicate lines become one.

Note: For files too large to successfully load into this text field, use the "Big File Tool" link below.
Privacy of Daidversion,idJDM,idBN,valeurComparaison,repJDM,sensBN,defBN
2,218085,04051613n,2401,chatte>bateau@fr,WIKI:FR:Chatte_(bateau)
2,213567,00024407n,1143,chatte>sexe@fr,WIKI:FR:con
2,230299,00048456n,904,coussinet>mécanique@fr,WIKI:FR:Palier_lisse
2,230299,00048455n,910,coussinet>mécanique@fr,WIKI:FR:Palier_lisse
2,230299,00014128n,904,coussinet>mécanique@fr,WIKI:FR:Palier_lisse
2,219843,00015176n,1206,cancan>danse@fr,WIKI:FR:Cancan
2,219553,00033707n,919,persan>langue@fr,WIKI:FR:persan
2,219552,00047448n,1456,persan>Perse@fr,OMWN:FR:Irani
2,219554,00061705n,721,persan>chat@fr,WIKI:FR:Persan_(chat)
2,219552,16752786n,1232,persan>Perse@fr,OMWIKI:FR:Iranien
2,221712,02885694n,789,angora>textile@fr,WIKI:FR:Angora
2,221711,00004168n,503,angora>chat@fr,WIKI:FR:Angora_turc
2,220038,00071399n,676,siamois>chat@fr,WIKI:FR:siamois_(chat)
2,220041,00017191n,1823,siamois>Siam@fr,WIKI:FR:thaï
2,220041,00071397n,1350,siamois>Siam@fr,WIKT:FR:Siamois
2,218007,13740389n,837,minet>chat@fr,WIKT:FR:chaton
2,218008,00049269n,681,minet>terme d'affection@fr,WIKIDATA:FR:chaton
2,218007,00049269n,1540,minet>chat@fr,WIKIDATA:FR:chaton
2,225124,00023943n,1559,croquette>cuisine@fr,WIKI:FR:croquette
2,216118,00940125n,2357,greffier>greffe@fr,WIKI:FR:Greffier
2,269225,03610881n,516,Hercule>mythologie@fr,WIKI:FR:Hercule_(série_télévisée,_1994)
2,269225,03276547n,1781,Hercule>mythologie@fr,WIKI:FR:Hercule_(Marvel_Comics)
2,269225,00903997n,514,Hercule>mythologie@fr,WIKI:FR:Hercule_(série_télévisée,_1998)
2,269225,00002518n,1486,Hercule>mythologie@fr,WIKIDATA:FR:Hercule
2,269225,03162376n,517,Hercule>mythologie@fr,WIKI:FR:Hercule_(mini-série)
2,269225,04777753n,687,Hercule>mythologie@fr,WIKI:FR:Hercule_(Disney)
2,315808,04759592n,635,Hercule>Pif le chien@fr,WIKI:FR:Hercule_(bande_dessinée)
2,217641,01127611n,2064,chaton>poussière@fr,OMWIKI:FR:mouton
2,217644,00016606n,2561,chaton>chat@fr,WIKI:FR:chat
2,217644,00049269n,1786,chaton>chat@fr,WIKIDATA:FR:chaton
2,217642,00003337n,1635,chaton>botanique@fr,WIKI:FR:chaton_(botanique)
2,268963,00077530n,1412,matou>chat@fr,OMWIKI:FR:matou
2,268964,02874877n,708,matou>instrument de musique@fr,WIKI:FR:Morin_khuur
2,213679,00018514n,1333,puce>circuit intégré@fr,WIKT:FR:micropuce
2,213681,03415182n,661,puce>symbole typographique@fr,WIKI:FR:puce_(typographie)
2,213678,00035151n,896,puce>insecte parasite@fr,WIKI:FR:Siphonaptera
2,213682,00010727n,613,puce>terme d'affection@fr,WIKI:FR:éclat_(Préhistoire)
2,213677,00065118n,1142,puce>brun@fr,WIKI:FR:Puce_(couleur)
2,213682,00065118n,630,puce>terme d'affection@fr,WIKI:FR:Puce_(couleur)
2,216687,00015322n,2179,gorge>vallée@fr,WIKI:FR:gorge_(géographie)
2,390797,14273889n,775,tonkinois>chat@fr,WIKI:FR:Tonkinois
2,264598,00064102n,759,prédateur>zoologie@fr,WIKI:FR:Prédateur
2,220344,00033828n,2404,fauve>peinture@fr,WIKI:FR:Fauve_(groupe)
2,220342,00032903n,2434,fauve>félin@fr,WIKIDATA:FR:félidés
2,220342,00010309n,1741,fauve>félin@fr,WIKI:FR:fauve
2,220341,04953407n,2209,fauve>ocre@fr,WIKI:FR:Fauve_(couleur)
2,220945,00042407n,724,uniforme>vêtement@fr,WIKT:FR:costume
2,220944,00079079n,603,uniforme>monotone@fr,OMWIKI:FR:uniforme
2,220945,00079079n,2446,uniforme>vêtement@fr,OMWIKI:FR:uniforme
2,218295,17158462n,882,roman>linguistique@fr,WIKI:FR:Gallo-roman_(langue)
2,218295,00050172n,928,roman>linguistique@fr,WIKI:FR:langues_romanes
2,233107,00062020n,577,appareil>dispositif@fr,WIKI:FR:téléphone
2,233108,00002275n,506,appareil>aéronef@fr,WIKI:FR:aéronef
2,233110,00013061n,1321,appareil>architecture@fr,WIKI:FR:appareil_(architecture)
2,233108,00001697n,549,appareil>aéronef@fr,WIKI:FR:avion
2,233108,00005004n,870,appareil>aéronef@fr,OMWN:FR:appareil
2,233111,13847433n,897,appareil>photo@fr,WIKI:FR:appareil_photographique
2,233109,00075762n,814,appareil>anatomie@fr,WIKI:FR:Appareil_(anatomie)
2,324346,00077184n,2000,bombe à retardement>bombe@fr,WONEF:FR:bombe_à_retardement
2,324347,00077184n,2000,bombe à retardement>situation@fr,WONEF:FR:bombe_à_retardement
2,324346,01823134n,1275,bombe à retardement>bombe@fr,WIKI:FR:Bombe_à_retardement
2,324347,01823134n,1275,bombe à retardement>situation@fr,WIKI:FR:Bombe_à_retardement
2,324346,00046655n,1750,bombe à retardement>bombe@fr,WIKT:FR:bombe_à_retardement
